,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id133,19.35498673,18.91222126,13.04898778,18.81994267,15.46531769,19.47697407,15.46779274,15.5968973,21.37336499,id133,20.92514677,19.91754944,10.51808746,22.79783039,15.96105292,22.0077645,18.00192313,14.25901329,15.56067319,id133,29.85647141,22.28868594,16.58875891,27.13015171,17.60279691,33.36020172,35.16222881,29.26219905,43.15239968
,id134,11.3671582,13.42867185,16.2574791,12.59425085,10.98984679,14.54716112,10.14577968,15.50968452,14.71814567,id134,7.814898201,8.976686083,11.66465785,8.668289123,8.456098049,9.64611342,5.639831914,12.55757163,11.70860133,id134,9.864919823,9.836785159,13.8881292,9.224961584,8.852550569,11.88154497,6.312132345,13.51033666,13.45770958
,id135,12.81185214,19.02399225,16.63115965,15.58410986,18.7197609,18.75716486,21.86242435,17.51002583,19.50681495,id135,11.07927609,16.98757176,14.28331714,15.19011787,17.69532162,14.89685564,18.05481369,12.15799391,18.32062803,id135,20.60721004,45.98596781,37.11309819,25.60779806,34.97016788,39.19330504,36.27516479,39.83240851,35.96535771
,id136,16.65482023,17.51488185,17.47664315,14.07894774,15.54339123,10.27853847,16.88898822,18.01712647,8.483622259,id136,16.54527945,14.24437677,16.84585799,11.67340429,12.341346,9.14804284,15.72258591,18.03585178,7.154808771,id136,38.30924548,40.85661996,39.70745111,28.8722265,26.67479958,14.40992261,30.00146526,36.93143379,18.81376418
,id137,13.04727484,14.430065,2.300807468,19.64584768,9.255490167,6.175189135,12.86840458,13.65432892,7.782916014,id137,9.173561684,9.630733894,1.688686178,13.61603616,5.497001714,4.010086769,7.936921441,11.26627763,6.878917859,id137,18.56162908,21.37618494,3.430348514,23.94134434,6.049404367,5.214296426,14.31886435,17.43548266,8.719298358
,id138,21.03461789,19.92728,19.94269521,22.55328323,19.24836942,22.70740038,16.84946508,13.16924321,22.86591631,id138,17.09554595,20.64718423,16.56139388,17.85979576,18.20027215,15.37679038,13.1303265,11.38394384,14.4096937,id138,24.62349624,29.2497203,35.0664397,39.5129382,26.70908143,29.85484623,36.07273968,20.03974983,25.10581007
,id139,21.41620957,21.69829578,22.14545628,20.39960561,22.65487886,22.43921682,20.39487862,16.48111653,20.45146743,id139,15.94531239,13.02053237,14.72107966,14.67501448,13.8850941,13.01505643,13.79785208,13.33340401,15.84790236,id139,46.79469508,56.18867134,60.52284905,33.47160478,57.85944361,51.76671858,39.85036096,27.01938752,46.38057749
,id14,1.629513175,6.48404922,3.451363736,13.96364313,24.37953532,22.84400305,24.53205806,14.67385833,11.0142379,id14,2.155253598,4.697429638,2.479880217,12.47963482,17.25058348,22.1858947,20.64863413,12.16000898,11.01072259,id14,2.565312672,8.543677762,2.508911411,16.67726644,45.93595385,31.24637784,36.06398237,16.93484817,16.68731698
,id140,21.45331108,13.82304921,21.24118571,21.74865622,1.2755222,21.40357017,12.70289154,17.45515725,20.06492177,id140,18.3310501,11.49616571,21.33338353,14.75033342,1.314344546,14.87556097,10.13819452,14.80389752,11.66989328,id140,32.34126706,22.28212432,37.77411412,41.09250803,1.356395465,45.13769055,22.66788657,43.4989046,29.75783604
,id141,23.1441994,18.12405474,22.02434236,15.98614099,17.45650873,16.82064625,14.60668652,16.75733282,14.65943391,id141,20.92565185,18.96246547,14.87440025,17.26413023,19.11502688,22.14097579,15.69936443,18.76050808,16.61963559,id141,24.44264936,23.41212594,17.12291128,18.79462574,18.96123909,19.183462,16.55419466,24.79482018,22.48522534
,id142,22.77163565,19.34997732,20.66252821,21.39010989,18.48941943,16.49949515,16.98873778,15.04361979,20.28484268,id142,16.10928287,12.88054089,18.81971579,16.5235859,13.36943648,12.22555342,15.62793465,14.69091717,12.83186706,id142,46.74435369,34.56275967,36.33934808,50.02749505,45.33805601,25.48064051,28.08604818,24.07445056,51.90735371
,id143,17.65623623,21.35928544,20.84092747,15.72290393,18.76217094,21.43739263,14.30577622,19.60133195,18.60342155,id143,18.77810341,18.38004076,16.99061991,15.42511837,15.84627136,17.34343791,12.70797138,17.57681311,22.12889018,id143,28.68779514,38.41000755,35.90819803,30.9279567,36.039087,31.79669558,23.89350603,44.16456825,31.10735327
,id144,15.14911959,16.0203276,19.50305197,17.73513101,19.23040686,21.38374708,18.72844745,22.69772483,19.41772655,id144,13.47272642,13.39590074,16.04876333,15.94996409,15.97251924,13.7172527,15.11795038,15.93052892,14.94126405,id144,36.54761028,29.98830117,47.26136753,40.80778049,34.48528562,49.66989202,24.13489498,48.33866402,36.1659274
,id145,21.45282544,19.22432131,22.05456669,21.60129761,20.14709488,21.23022556,20.16087308,15.85192522,17.19803014,id145,17.61374144,17.21387512,22.49808787,16.92087094,19.54008276,19.48321543,17.35947078,14.93942707,16.68351147,id145,36.03023557,26.90228553,39.19515526,34.00133209,35.79224588,27.92332219,28.8795062,21.46584446,23.609093
,id146,11.59349687,21.23610676,11.06767708,16.12074147,18.214779,18.07390623,13.40809092,20.76833934,12.74934086,id146,11.94699557,13.74414855,10.07644616,11.72249087,12.04574291,12.34260554,10.60875041,13.94138453,10.13097903,id146,12.92313317,34.61695873,18.45707712,30.78318785,29.80687795,34.37807313,15.65411283,33.72899589,23.29972565
,id147,11.69248867,14.72701206,14.15793334,16.79191314,6.664477009,12.24543798,8.608202844,14.87443173,14.0331532,id147,11.02387009,13.39558497,12.4573157,10.90346912,7.409494506,10.16956743,10.02695425,14.64676292,12.43986607,id147,25.80493811,33.4067027,35.24385605,34.8824393,12.28400126,31.39668112,18.63409256,26.55132753,29.46048234
,id148,24.46856274,12.76431478,17.11155926,5.872117437,17.14770124,20.28108321,16.42751139,21.36541781,13.83050587,id148,16.79609746,9.837974443,14.74306384,4.528930718,14.42642394,16.85721397,12.96575226,15.57549191,16.17834015,id148,29.35969759,14.29619869,18.61528031,6.087823717,18.84883638,28.79383095,25.10491532,32.17388397,17.46923127
