,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id119,15.16922661,14.58390627,16.22348793,12.36038708,14.69976874,17.15247865,14.85601833,17.94566901,9.284047004,id119,12.84504234,14.65342461,20.72023488,11.5916253,12.15017003,16.86219245,13.64212769,15.87773014,11.41897367,id119,19.44559378,20.09966589,25.9314649,18.91138648,25.46670368,27.54244543,24.1200918,32.62906727,18.56783539
,id12,15.42784686,8.713089888,7.599256828,2.417554181,13.62507162,0.00006253628392,14.63318187,12.60587165,17.18134676,id12,7.754543653,8.671600002,5.872969231,1.22069204,9.351444115,0.0001533189004,10.82579483,8.462084916,12.19314957,id12,13.24465355,8.137129107,7.831160916,1.259732408,16.60797938,0.0003240607327,16.4877686,11.30984602,13.28378155
,id120,16.57157395,17.3238036,2.37430449,8.354284073,15.52122849,11.09344853,18.19398807,15.17952193,19.40211406,id120,12.70288559,10.71372906,2.356598757,11.61373857,11.89007375,11.7289393,15.07373895,11.77138265,12.30861999,id120,15.01370927,11.36231684,3.959283475,11.03641511,17.93316025,18.97498842,14.82382146,25.67335836,21.81350792
,id121,10.56610608,14.44512647,15.77992032,12.79184485,17.104106,12.26281723,14.60228787,1.467574766,9.885591082,id121,11.0401449,9.938446553,13.20619047,12.40285929,12.52568816,14.00254481,13.67907401,1.578126818,12.0044379,id121,9.114597042,10.04785041,16.89726731,12.00513154,13.23152541,13.05872365,15.55442981,1.62939935,9.321961618
,id122,18.65880012,16.39261287,13.6716312,11.71636712,9.907198956,3.942588363,8.631748781,7.808648649,11.98102709,id122,12.07239077,13.07515213,12.07812581,12.85449324,7.829232695,4.698413841,11.82497464,7.280756154,13.08918291,id122,14.27575641,17.17429181,14.1640525,13.26766792,8.669812042,4.553246126,10.01464287,6.50444291,15.64548602
,id123,19.97789559,13.39410094,11.3880303,12.09540201,17.30620833,5.484585948,16.97995894,21.29620503,14.55083822,id123,18.98415409,8.783450226,11.4378341,9.242387771,10.87026468,4.666148929,12.71406755,16.70435168,11.78883758,id123,22.82419157,9.629386956,14.82660717,17.57275283,14.21837238,5.678107907,13.09398964,23.84452481,19.56072096
,id124,12.70290093,1.159495587,13.52231623,0.000007160379372,4.89428958,13.5117647,7.803202969,13.14635456,0.7036022008,id124,10.99528172,1.068847334,9.587846649,0.00001095998527,6.040727707,7.307704493,6.564431725,9.879807054,1.000148103,id124,13.2689098,1.326536431,12.62048274,0.00002074638147,4.224100837,14.36702598,7.261388839,8.98174545,0.763470531
,id125,6.566066609,18.27041573,11.95794052,17.16901964,17.54863291,20.30861011,16.92881056,15.28975213,19.17601476,id125,6.418028252,18.57721492,13.44417077,13.76459807,14.5014885,15.90381228,16.63422083,13.89186988,19.32984254,id125,10.36738225,27.29047984,15.14554602,13.7920409,28.21009763,25.25981385,21.64377949,23.88732107,27.07057158
,id126,16.29667537,19.44254716,15.21327118,16.19022951,11.82245755,10.00760644,6.957553406,7.907786172,3.313839326,id126,13.29578868,10.9554009,14.29485988,12.07594359,8.678713858,8.726356948,4.510919953,8.995645668,2.528873674,id126,11.77126982,15.49979443,17.82618174,15.14629962,11.95715046,11.79974625,5.810185257,11.46818209,2.213196287
,id127,20.95988507,20.13707443,23.28050588,16.13713462,17.944254,5.307225598,11.82190815,4.534073992,12.33714289,id127,15.22081987,19.35458812,12.76646389,12.20314615,16.64856482,4.636683617,10.77032639,3.247876616,17.29230187,id127,17.58467697,29.21842939,15.37138045,14.40525296,21.78354588,5.709532987,13.30221687,4.697118421,20.24057649
