source_file,task,feature_type,channel,source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31
resting_mav_normal - C3.csv,resting,mav,C3,11,,id106,4.943654195,0.8493685465,2.785623124,7.530620207,2.947586646,7.666644623,5.471020105,16.71984968,3.948525373,id106,4.203188746,1.458230624,2.157293469,4.573442153,2.452117626,6.867057453,5.679077955,12.15657063,3.055425918,id106,4.42724701,0.6696329027,2.319047981,5.756015755,3.732268029,6.323052924,6.408111054,13.80180837,3.400403134
resting_mav_normal - C3.csv,resting,mav,C3,12,,id107,12.89033393,13.96749667,13.89425422,18.97634985,18.94520948,20.08534006,21.09224351,15.29648862,14.64695927,id107,9.653378498,10.3741625,9.051159419,14.99656056,18.64096149,22.79499273,19.05690665,16.56018922,16.35191522,id107,11.6337553,14.30109643,12.21281417,24.01547401,25.32748069,20.03259926,23.35723249,18.09593956,20.16892525
resting_mav_normal - C3.csv,resting,mav,C3,13,,id108,10.9049973,12.36561552,10.53961472,14.6611028,15.56514915,12.22786112,8.577625035,20.76650829,10.72469654,id108,7.541683326,9.151357604,7.723673087,9.589700447,12.61323279,8.242346185,5.180375354,11.71666736,7.852232348,id108,7.171267877,6.280561396,7.334995339,12.92831555,15.1292648,8.514037364,5.693076465,14.82271796,8.930349191
resting_mav_normal - C3.csv,resting,mav,C3,14,,id109,9.222820857,11.77206497,8.881284475,3.570180236,9.194837044,10.11537038,11.70297197,17.314517,13.67827888,id109,9.301300725,11.83526383,9.176444961,3.585350212,6.56423558,9.129232855,11.61466129,16.3382705,12.84259655,id109,10.0939145,13.15958281,11.26146569,4.469462195,10.05019182,14.15186145,12.26239637,22.80248121,13.33479769
resting_mav_normal - C3.csv,resting,mav,C3,15,,id11,8.434141822,6.175175684,3.64566083,0.03131403127,3.56753694,11.2835923,7.116142172,8.937573651,2.734903804,id11,5.652132681,6.532496288,5.047240833,0.03777665154,6.024515421,9.595448511,9.010522931,13.07088218,1.671341527,id11,11.80854495,6.819348784,7.561662363,0.06389715891,5.595912143,18.3555366,11.2499464,15.01507288,2.077103369
resting_mav_normal - C3.csv,resting,mav,C3,16,,id110,12.59877536,5.507880093,6.62863836,5.083357755,14.09271828,8.728620421,6.684919085,9.709808919,16.23618399,id110,10.6093149,5.381540221,5.534704842,5.47377125,7.81761362,7.282603262,5.162292203,5.966423378,13.63388568,id110,10.92881352,5.357084735,6.420517445,6.653184268,14.98887036,10.97609568,8.029361055,5.858891573,15.92454241
resting_mav_normal - C3.csv,resting,mav,C3,17,,id111,9.701473557,2.979842214,10.47474471,9.092635575,12.09569866,2.994984927,8.765918586,16.0495969,16.39661653,id111,6.817199889,3.021042613,6.086053195,6.328893157,8.453719624,2.511649916,5.188003641,8.695242821,10.54766682,id111,7.054112845,2.55747596,5.4965331,6.025331342,8.246555466,2.52956025,5.496259098,9.184284971,12.12879173
resting_mav_normal - C3.csv,resting,mav,C3,18,,id112,1.428622253,4.263859689,4.581844249,15.18414362,6.928169829,6.559597617,14.77474117,10.2316699,9.597384311,id112,1.484127318,3.461053124,3.621379954,10.30120863,5.420807261,5.946208301,8.956817615,7.773885927,7.940953989,id112,1.375454545,2.649803769,3.819094861,11.05216431,6.978347928,5.280842276,11.11164644,8.353745892,9.576820874
resting_mav_normal - C3.csv,resting,mav,C3,19,,id113,5.11686953,13.43165266,5.552585257,7.833366792,10.7707528,15.76967172,19.49932648,11.80109858,10.27870136,id113,6.710442713,10.94940934,5.824853957,7.921714586,10.81799302,16.65443925,14.43094236,9.837911415,8.45280825,id113,8.798703883,17.53716433,10.48245246,10.12964015,12.61232593,19.09866329,23.5993244,15.15804806,10.79909234
resting_mav_normal - C3.csv,resting,mav,C3,20,,id114,10.62512932,9.24039356,10.90622688,11.86107006,13.32731837,20.49613471,10.87797609,8.359429647,13.52432445,id114,7.207393429,6.085790771,7.832839307,11.69690187,9.935979284,13.75029002,8.145202935,6.05713976,12.37418467,id114,7.793571666,6.710033528,7.652830063,11.96363957,11.97265041,17.25252744,11.5337568,6.150843819,14.46212822
resting_mav_normal - C3.csv,resting,mav,C3,21,,id115,13.71598881,5.975903047,10.47790064,10.48482824,5.598558126,8.795026186,5.99527413,17.32116473,15.31612396,id115,9.672990933,4.444255482,5.084152582,5.731808226,4.417460722,6.331215516,3.764993819,17.00449586,11.99968776,id115,11.70261509,3.831830441,6.257375866,6.980088712,4.653202365,7.93914658,5.384107723,15.01997531,11.2946192
resting_mav_normal - C3.csv,resting,mav,C3,22,,id116,6.902661343,7.898464548,12.03555073,8.05717236,11.40126222,7.353880864,9.666738413,11.39476594,8.585015284,id116,8.172800055,7.943375253,12.47508131,9.272491836,10.1616193,8.246977588,9.187292832,10.96161279,9.351390315,id116,9.16301398,16.11211423,18.17057791,15.4664743,15.59123864,11.47672654,12.89583253,15.79096649,16.44135423
resting_mav_normal - C3.csv,resting,mav,C3,23,,id117,5.162371793,12.50257511,21.29937095,19.37812005,7.282134473,3.196259893,10.39813768,8.331258364,8.446378114,id117,2.506426593,10.65394318,16.08528171,15.02389939,6.328396406,2.004739637,8.083814025,6.829064117,6.101719734,id117,5.37474008,10.19309443,21.19155832,18.66346334,9.185711369,1.958316382,11.24667488,7.874113294,6.375698636
resting_mav_normal - C3.csv,resting,mav,C3,24,,id118,9.897109345,6.654839599,7.51170797,7.777643354,7.871760437,8.481934866,7.225118783,9.543224771,8.658391872,id118,7.823676748,5.274186292,6.111815863,5.242880602,5.314349584,6.601763748,4.827492868,8.001417722,6.987638987,id118,7.986385392,5.497312457,5.823375811,6.055874263,6.978259615,8.327498912,6.360964441,6.348498263,7.192376181
resting_mav_normal - C3.csv,resting,mav,C3,25,,id119,14.32690368,13.42226653,16.04021277,9.430020547,17.35406406,14.9042196,18.20977014,16.18558184,10.21676768,id119,17.45160876,13.24462217,16.03750364,9.182724126,19.33983976,12.43111289,16.69879886,14.28124535,8.244042452,id119,23.80311585,16.70731158,27.29758354,17.64588595,26.66016642,28.94936121,27.05591903,27.31357411,18.37608044
resting_mav_normal - C3.csv,resting,mav,C3,26,,id12,8.782261964,12.06088553,7.121838939,6.05464332,11.6719425,3.488073965,8.286705621,7.86462341,4.187516061,id12,7.1266147,8.469217852,5.482357388,6.402233622,10.23799268,3.505737061,8.072241128,8.51513539,3.735995734,id12,8.250587435,10.01551666,9.644252025,6.617162419,11.93547655,3.410126067,9.725788621,11.79434202,4.161160929
