,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id134,11.20987864,10.08334237,16.92077136,9.628624367,12.27172554,12.78198584,9.97131957,14.72457323,11.71372123,id134,7.776538153,6.735655672,10.77904445,7.844552366,9.096923433,12.24375251,7.523077394,11.94371135,9.670381128,id134,10.48901301,7.305906327,14.86028497,8.481969214,9.325399063,10.75464537,8.738579647,14.11719297,11.83387013
,id135,12.53838429,16.8453134,17.47295979,14.06260898,14.81073403,14.71750322,20.14386368,15.35471846,17.99280813,id135,9.810414076,16.15423695,18.93677453,12.74325059,10.88911336,16.36382872,18.76366471,15.06950486,14.24631725,id135,18.54385276,38.92726705,32.39020241,23.97820457,25.40530002,29.2200725,27.23164696,31.17110845,34.2597673
,id136,16.70752563,16.75774785,19.39496639,11.18062789,10.97208326,9.245172157,15.32924525,15.81169845,6.802015525,id136,14.27028762,11.77332988,14.3169481,10.26909108,10.44626499,9.639045734,13.81801917,14.73166199,6.416060158,id136,31.28417575,40.26681479,36.6322502,21.79962631,25.19602271,18.75972439,22.70310843,30.79693155,16.0832176
,id137,8.88293816,9.257777618,1.111994098,10.61981437,6.557455373,7.294496908,5.781304953,9.870776726,6.593261987,id137,6.435557247,7.046094292,0.7539330334,6.653474835,4.37983499,4.459127299,4.389781681,6.691306373,3.809866326,id137,10.0019144,14.49141437,1.535075427,8.358311055,4.980565307,5.68075823,5.312090034,8.926585395,7.862399078
,id138,21.78537443,21.24525587,19.3577434,20.45053841,16.90546396,10.09133227,14.0335139,10.21713145,16.59437554,id138,18.75059789,19.58438418,19.48061821,18.56886513,17.14908576,8.773209992,14.015572,9.526810992,12.59955501,id138,20.35798759,33.81295604,38.4437598,45.44466925,25.43531465,16.8710618,32.99518724,14.27038989,20.1833566
,id139,21.76841896,24.31677152,21.52409653,21.11523427,24.80356331,22.6268508,21.4817917,18.83990467,17.36105526,id139,17.2985525,12.66212219,14.8813151,14.50185628,13.07406786,14.82425094,13.58833442,12.97990916,13.91334352,id139,46.00889943,47.46626263,56.19145305,42.44795793,52.3503797,55.64787082,50.23061321,43.33628839,40.40296337
,id14,0,1.997269852,1.449681802,2.60340481,0.3259401791,2.679136856,4.170392262,2.25041828,0.00001264215362,id14,0,1.515246458,1.314643409,1.997967744,0.2028645483,2.469998141,3.385927358,1.756000459,0.0000211923735,id14,0,3.295196197,1.422928267,2.601832354,0.3724349631,2.102140387,4.045603736,2.499851553,0.00003056976964
,id140,21.82239519,17.75335674,20.85590163,19.30243497,17.5736261,22.06774848,19.1277748,18.84050058,15.01332162,id140,24.22898456,15.61080503,20.50960509,18.8480237,15.45093296,17.79482582,13.24179224,17.44594596,11.25846951,id140,37.92149895,23.63638736,42.32980677,41.83881919,27.18346378,43.77923107,48.56432356,45.05048209,21.66135082
,id141,21.12412141,18.05863032,22.14138538,20.98734193,20.6145118,15.33432893,13.19784936,15.33326041,4.488941295,id141,14.74372504,16.9800632,16.50454649,17.2868729,19.95973639,18.4759571,15.06630234,16.58325616,5.022417825,id141,19.16416651,21.80479629,22.65154247,23.02006231,18.94533328,15.35259884,16.55341287,21.31615091,5.739417652
,id142,25.22038371,17.82982591,22.93045089,21.07001746,4.560814511,14.61831118,18.07406737,12.53897915,21.00515676,id142,18.23202529,14.98093318,16.8206504,15.54683504,4.592475493,13.00229268,13.35944924,8.820720034,15.51783358,id142,46.01901803,29.50364639,36.27470198,51.07181629,6.160526426,19.55624391,38.12977311,19.2310775,53.47483339
,id143,16.03286621,20.17314785,24.20049205,15.23851215,20.76052198,21.64244746,0.6800362722,7.139717535,16.95219099,id143,17.00296153,16.56770727,19.55372069,14.15497092,16.79710213,17.746887,1.08480849,5.681504129,16.70386709,id143,18.02565546,33.85295651,40.47240442,26.63725701,28.92938465,30.92278341,1.166390714,11.03009948,24.7027963
,id144,16.51785645,19.77010604,19.66830234,19.90478018,22.05261722,21.27473923,16.75604194,22.86731165,16.61836737,id144,12.8323757,13.90772002,16.92913052,15.13773522,18.25730029,14.00100323,13.95715633,14.40280792,12.87401459,id144,43.8496682,37.67080615,48.46340297,45.10915075,41.17111684,55.57219294,24.02392161,47.78887546,38.17721517
,id145,22.65969992,15.13990755,21.78689813,21.86060029,18.38198451,22.57411611,22.098276,0.7545896943,18.59131501,id145,18.77295582,15.84745152,18.965304,16.02569114,16.81244021,19.61599973,16.70272674,1.065462787,15.36456849,id145,31.63548954,22.86793973,33.77693745,26.18586888,28.61582041,31.66480707,23.19656405,1.145241291,24.26262615
,id146,9.610923492,15.70743298,8.48443037,15.55120525,15.85375516,15.55320476,11.87505275,16.97264865,11.91176986,id146,9.041168555,13.70463064,7.853374201,15.14438873,10.22619272,9.153748635,10.39746698,14.88045416,11.28312605,id146,9.659830767,22.05692842,14.67187468,21.54305954,21.14186465,23.8321143,17.30774598,34.09216374,21.60661339
,id147,8.937376994,10.63506181,12.63341168,13.37002259,5.65764449,7.276716925,6.818351139,14.25948331,9.465204623,id147,7.131667821,8.600332502,10.73843611,13.47337414,3.758179042,6.454689504,5.927098305,10.38864399,7.340972943,id147,18.37516713,21.10832143,27.93132107,27.46246403,14.91570673,19.20762152,14.08591639,27.13983934,18.63594058
,id148,21.82597135,14.00620038,14.83392552,4.661609089,13.00858012,15.71923311,19.20622158,22.73765817,10.32024601,id148,17.05654723,10.864272,9.391100848,2.717047883,11.3250894,13.9512641,14.98496344,18.53318477,10.03579552,id148,20.35559041,15.9054998,12.44232697,3.724462531,13.30878219,19.35725453,26.54854261,25.39611318,13.68880796
,id149,19.79101883,19.63976385,20.54068162,14.70207494,16.09595442,20.78015015,18.38474188,20.22754795,18.47135209,id149,17.60863309,18.43208042,20.28994171,13.98482156,14.6247222,15.88436377,14.45404109,21.36120641,14.65317003,id149,29.6596931,31.31586567,35.34359443,24.05753596,24.7033732,24.87989071,41.81149146,31.47004786,26.73507184
,id15,5.974540084,2.995872199,5.764346671,6.453574008,8.036027058,9.371997062,11.213573,15.06544368,15.54207344,id15,4.163168083,2.179644946,4.220973062,3.933931089,5.292201174,9.2527751,9.167974772,10.54413577,11.94289233,id15,4.733062907,2.284801181,5.611127487,4.812016181,7.236615894,11.20693269,11.34710892,20.27321189,15.80279002
,id150,15.0040963,11.50623487,16.31992418,16.95797977,22.35084524,17.24189712,20.94801721,14.67456364,21.36503671,id150,11.35397241,9.083219697,17.9303003,16.63304544,17.97546216,13.86471672,17.52595683,11.64907167,12.68669835,id150,12.04163616,11.61131299,16.17227666,19.34491754,16.99906691,18.11762579,19.2975064,12.71274312,15.27521882
,id151,10.09421174,18.26805146,18.75226227,16.01100614,17.53497088,20.70377876,23.42482911,16.45495939,16.89713841,id151,6.589390141,15.96807854,12.56891181,10.71972301,16.55302814,18.17549837,20.89816299,15.82382145,15.13676167,id151,9.140173692,20.42912415,23.70137823,16.4990384,23.22373933,23.14880388,21.93703011,23.19532426,15.50848723
,id152,0.3978286527,0.6871447872,2.97262485,20.31493783,0.3742544411,4.239966875,7.318763089,11.92077181,9.383904002,id152,0.2670127629,0.5476879822,2.027166353,14.88756589,0.173384022,2.29886137,6.046100933,7.671133658,8.788205544,id152,0.3554020636,0.4860056252,2.07170976,17.86436271,0.1748051789,4.521716627,6.831251508,12.72142587,10.66796386
,id153,18.63944186,10.98212763,11.504078,4.392221874,22.06752348,21.36552108,19.2682787,13.64796162,22.02012039,id153,13.48713063,7.329084064,11.7021711,4.676219926,17.57661042,22.26431348,17.63904184,13.04007723,18.89470355,id153,25.12380017,11.78467456,18.44627185,8.076163572,34.34334133,33.64965485,33.23777642,21.50027189,44.53337653
