,High_Beta,variance (µ),,,,,,,,,Low_Beta,variance (µ),,,,,,,,,Mu,variance (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id134,0.0003148371058,0.0003583417493,0.0004011368857,0.000325503657,0.0001402981368,0.0003824052898,0.0002212474904,0.0003220190047,0.0002918606024,id134,0.00006927860612,0.0001578357914,0.0002474995112,0.0001214362483,0.00004353063222,0.0001880361793,0.0001274285884,0.0002038319307,0.0001075757203,id134,0.0001101876335,0.000223957155,0.0002152259951,0.000132989915,0.00005897904989,0.0002160791195,0.000117174513,0.00009337475327,0.0001313519431
,id135,0.000603766632,0.0005852207309,0.0005364255881,0.0003712073186,0.0004417980431,0.0005202743921,0.0001462450041,0.0005495398973,0.0002925980224,id135,0.000408033713,0.0004408117294,0.0003124054443,0.0001435828851,0.0002600305162,0.0002497084622,0.0001624182134,0.0004620218538,0.0002971141201,id135,0.0008576327486,0.0009419147884,0.0005779041249,0.0008950857682,0.00094207718,0.0004851974823,0.0001064330902,0.001205203736,0.000687219518
,id136,0.0006726721802,0.0004569745165,0.0005082121591,0.0006682222197,0.0003484922026,0.0001578076825,0.0003906430875,0.0002919999507,0.0003632292924,id136,0.0002332332107,0.0002747012817,0.0003607879167,0.0002781048917,0.000217772796,0.0001929410813,0.0003335868045,0.0001550341907,0.0002671426877,id136,0.0009198942141,0.0009860493706,0.0008597503963,0.0009330784505,0.001080362239,0.0002546053489,0.0008680269574,0.0006969262088,0.001041423569
,id137,0.0003918361401,0.0003158685342,0.0000319774048,0.0003632372518,0.0004278974484,0.0001361317565,0.0002260654558,0.000712599351,0.0000816460992,id137,0.0001786897096,0.0001065388514,0.0000100222835,0.000228209594,0.0001391629396,0.00004136607698,0.00009863697631,0.000236266111,0.00002327387108,id137,0.0003375806566,0.000110494527,0.000004667148195,0.0003375561242,0.0001606293155,0.00004148993818,0.0001029694382,0.0002242413095,0.0000282936156
,id138,0.0009096090064,0.0005289160887,0.0007491559793,0.0005099556484,0.000577840963,0.0007744665884,0.0004137315492,0.000147481978,0.0004547496264,id138,0.0006297714058,0.0004938756286,0.0004661900278,0.0006205791262,0.0004435901821,0.0005241574722,0.0004673318062,0.0001194960934,0.0005257181436,id138,0.0008593146908,0.0007652762772,0.0005825194568,0.0004725555099,0.0006285095914,0.0006669764496,0.0006439903794,0.0002045940423,0.000358256837
,id139,0.000586991968,0.0006168569175,0.0007651324005,0.0003159750478,0.0005007848808,0.0006155511001,0.0006067943055,0.0003667077206,0.0005435793546,id139,0.0004049044909,0.0004210836611,0.000646934153,0.0003365405605,0.0004412081667,0.0003053526478,0.0003269018469,0.0002089646522,0.0005960559215,id139,0.0003163277455,0.0003939676684,0.0007473721291,0.0004064806328,0.0008909260151,0.0005358760239,0.0007267757038,0.0002045563807,0.0009160813489
,id14,0.0001396914138,0.0001019067549,0.000002662393999,0.0003568209932,0.0004396753043,0.0005865126358,0.0001191842715,0.0005652818363,0.0004882839465,id14,0.0004986918778,0.00003613012635,0.000003129632955,0.0002393317422,0.0007424166252,0.0001779057358,0.0001413946671,0.0004904406323,0.0002396911532,id14,0.000502628449,0.0001118256123,0.000004780281423,0.0009007993583,0.0004126892391,0.0002210792411,0.001190572626,0.0005044920262,0.0003616709961
,id140,0.0004099321145,0.0003723234679,0.0004618070796,0.0003770777647,0.0002002449461,0.0007812121085,0.0007146490932,0.0004266768396,0.0003570937749,id140,0.00027106892,0.000357586208,0.0007506572635,0.0004136511254,0.0001118800988,0.0009447846379,0.001075977705,0.0004110850745,0.0002045725079,id140,0.0005167198807,0.0005714858488,0.0005734839796,0.0004526814935,0.0002481175424,0.0008336159051,0.0005911813386,0.000261736307,0.0004404094693
,id141,0.0005418826055,0.0006130346072,0.0007096682695,0.0005640689583,0.0006575806109,0.0006294169405,0.000512251992,0.0004560083997,0.0006342920807,id141,0.0003350692691,0.0005442046874,0.0002558236336,0.0003498501227,0.0004036130893,0.0003576076252,0.0002837479178,0.0002805546768,0.0004657228083,id141,0.0004953417153,0.0008270237248,0.0004677668487,0.0006170568681,0.0008124392433,0.000645369728,0.0007573838689,0.0003381298045,0.0005869165544
,id142,0.0006012865403,0.0005669949303,0.0005682878692,0.0004409994363,0.0003893782565,0.0005926241024,0.0004266913373,0.0001469635081,0.0005886660756,id142,0.0002515116264,0.0003729275312,0.0003953845777,0.0003178296931,0.000383370663,0.000403918085,0.0005045900408,0.0001063055046,0.0004717804896,id142,0.0009933615918,0.00117320452,0.0003301690542,0.001300138705,0.0007915281451,0.0007057464984,0.000692807702,0.0001907821348,0.001251671351
