subject_id,scenario,scenario_num,resting_C3_High_Beta_mav,resting_C3_Low_Beta_mav,resting_C3_Mu_mav,resting_C4_High_Beta_mav,resting_C4_Low_Beta_mav,resting_C4_Mu_mav,resting_CZ_High_Beta_mav,resting_CZ_Low_Beta_mav,resting_CZ_Mu_mav,thinking_C3_High_Beta_mav,thinking_C3_Low_Beta_mav,thinking_C3_Mu_mav,thinking_C4_High_Beta_mav,thinking_C4_Low_Beta_mav,thinking_C4_Mu_mav,thinking_CZ_High_Beta_mav,thinking_CZ_Low_Beta_mav,thinking_CZ_Mu_mav,resting_C3_High_Beta_variance,resting_C3_Low_Beta_variance,resting_C3_Mu_variance,resting_C4_High_Beta_variance,resting_C4_Low_Beta_variance,resting_C4_Mu_variance,resting_CZ_High_Beta_variance,resting_CZ_Low_Beta_variance,resting_CZ_Mu_variance,thinking_C3_High_Beta_variance,thinking_C3_Low_Beta_variance,thinking_C3_Mu_variance,thinking_C4_High_Beta_variance,thinking_C4_Low_Beta_variance,thinking_C4_Mu_variance,thinking_CZ_High_Beta_variance,thinking_CZ_Low_Beta_variance,thinking_CZ_Mu_variance
id112,scenario5,5,6.928169829,5.420807261,6.978347928,10.46728031,6.310954609,10.17151793,5.775339588,4.120038927,7.897156763,10.0447426,5.693007209,10.90273997,19.28126804,11.91586232,26.55931227,2.229372132,2.750579704,2.437662513,0.0002107134026,9.307702197e-05,0.0001433795754,0.0002947043465,0.0001086264598,0.0002681308796,0.0001625268354,5.759795385e-05,0.0003233359086,0.0003339193597,8.290083876e-05,0.0003820039881,0.0006856755421,0.0002309774796,0.001287793851,5.855704483e-05,8.311549655e-05,4.222577342e-05
id112,scenario6,6,6.559597617,5.946208301,5.280842276,14.25306618,10.04321109,12.38569312,6.715868299,5.507980264,6.620316134,6.3511536,4.070431679,6.172318577,20.51295571,15.68710217,19.61068138,7.765653062,5.236918017,7.546333156,0.0001158205026,8.307594699e-05,5.088708234e-05,0.0004646777544,0.0002078853139,0.0002848369885,0.0001068559786,6.653164218e-05,9.734602834e-05,6.667050634e-05,2.797364963e-05,6.2467003e-05,0.0007344752483,0.0004631911446,0.0007384157467,0.0001195526958,4.471199584e-05,0.0001126348988
id112,scenario7,7,14.77474117,8.956817615,11.11164644,14.23787336,10.52290439,7.366732282,14.44699296,10.46959561,9.980791925,17.08974441,12.87349574,20.2830734,15.63919207,14.30360468,20.77673158,10.38069535,10.32767992,14.46391117,0.000489096629,0.0001765185082,0.0002840579772,0.0004840795221,0.0002445631268,0.0001162217477,0.0004881346428,0.000286729954,0.0002202121358,0.0005270710616,0.0002748195024,0.0006927681034,0.0004380929953,0.0003344889017,0.0009274939613,0.0002221223048,0.0002026772709,0.0004947563377
id112,scenario8,8,10.2316699,7.773885927,8.353745892,14.44108346,10.19119605,9.873091386,9.047510055,7.585097386,6.838290335,13.42949162,9.736348551,11.12056385,14.87993538,14.07581989,20.95559835,9.711593876,8.318902325,9.296593289,0.0001994127656,0.0001149260381,0.0001226491679,0.0004909980216,0.0002052421999,0.0001926679018,0.0001748117621,0.0001161708406,7.698063816e-05,0.0003967486649,0.0001804427269,0.0002184994362,0.0003883414368,0.0003039336711,0.0007791429657,0.0001713958965,0.0001235595184,0.0001546986553
id112,scenario9,9,9.597384311,7.940953989,9.576820874,18.94678811,13.08836009,13.1984163,17.50607368,13.24337475,11.94399586,12.24489957,10.7831159,17.19126576,21.05200298,16.77695814,34.12151443,19.24026654,14.62329299,33.44203725,0.0001801463799,0.0001205025098,0.0001549153271,0.0006078787382,0.0002842576186,0.0002992097786,0.000546992011,0.0003189489082,0.0002277447043,0.0002482377826,0.00022001538,0.0005120856328,0.000713312003,0.0004787895158,0.001804756545,0.0005965958399,0.0003454676809,0.001735518007
id113,scenario1,1,5.11686953,6.710442713,8.798703883,17.59594767,12.60974632,21.6093392,12.30900228,11.49168407,14.75433358,14.94761535,14.13077859,28.43623271,17.98212643,14.1943069,39.69111497,12.56828969,9.701506886,26.26855721,5.326382473e-05,0.0001174737719,0.0002448525817,0.0006322321279,0.0002685471675,0.0008584954808,0.0003606318893,0.000261497233,0.0005090451075,0.0004494510153,0.0003620967575,0.001497996025,0.0005671355043,0.0003390686255,0.002623770801,0.0003547763629,0.0001966965675,0.00159887127
id113,scenario2,2,13.43165266,10.94940934,17.53716433,19.38510619,13.12930598,19.13063405,15.91962918,14.34986174,20.39712015,15.08778117,10.91852737,25.02861401,23.12392746,14.48051538,45.5633156,20.06096301,12.99620788,45.31053005,0.0003864380406,0.0002126577569,0.0005993947087,0.0008192359195,0.00033571706,0.0006427588248,0.0005309717812,0.0004083659947,0.0007576731981,0.0004469417361,0.0002096396779,0.001193825786,0.0009042769767,0.000324156584,0.003129146089,0.0006704761379,0.0002908270043,0.003126921648
id113,scenario3,3,5.552585257,5.824853957,10.48245246,11.55211493,11.35238121,17.85568969,10.69729738,11.58300093,20.134907,15.36812519,9.862883694,35.00962707,21.83292523,13.79182621,44.27286805,18.18715335,13.57873124,46.3360636,0.000151452048,0.0001087750496,0.0005768130377,0.0003505680286,0.0002828759496,0.0008070928145,0.0002932580262,0.0003168578683,0.001032915488,0.0004977755428,0.0001688502307,0.002457700768,0.0007749506869,0.0002991889956,0.003018013747,0.0005707594741,0.0002778459458,0.003490542421
id113,scenario4,4,7.833366792,7.921714586,10.12964015,14.69636119,16.82083328,16.94699789,12.93330912,12.23391461,19.71006371,14.60319426,13.07497808,30.43280866,20.1213993,15.58063782,45.86062845,19.86679783,17.97160078,49.40915394,0.0001568357373,0.0001263335409,0.0002472924763,0.0004546852718,0.0005109836061,0.000503734965,0.0003860038447,0.0002644158005,0.0007940480844,0.0004571364578,0.0002875944919,0.001882689389,0.0006881119362,0.0003814992713,0.003120435339,0.0006584278442,0.0005065998718,0.003522126136
id113,scenario5,5,10.7707528,10.81799302,12.61232593,16.48101984,13.75761397,16.83037239,14.19171693,9.920811393,18.70458765,16.91471876,15.06878719,39.57949972,21.13786839,17.1849659,44.68951345,18.93785134,15.61633058,49.17278605,0.000292792607,0.0002391224499,0.0003286800167,0.0005639131918,0.0003505704132,0.000520975348,0.000367987161,0.0001605003496,0.0005527660873,0.0005566711714,0.0003825527422,0.002647993961,0.0007314353271,0.0004734776837,0.002878460347,0.0005768230635,0.0003707229635,0.003330283066
