subject_id,task,channel,subband,scenario,scenario_num,mav,variance
id10,resting,CZ,Low_Beta,scenario4,4,0.8687427192,1.352284045e-06
id10,resting,CZ,Low_Beta,scenario5,5,14.3175004,0.0004122506232
id10,resting,CZ,Low_Beta,scenario6,6,16.25784542,0.0004022333583
id10,resting,CZ,Low_Beta,scenario7,7,0.4164605418,3.121477927e-07
id10,resting,CZ,Low_Beta,scenario8,8,5.488391142,0.0001004103192
id10,resting,CZ,Low_Beta,scenario9,9,10.51348015,0.0002039718632
id10,resting,CZ,Mu,scenario1,1,6.114231863,0.0001196414905
id10,resting,CZ,Mu,scenario2,2,15.18424183,0.0005086485239
id10,resting,CZ,Mu,scenario3,3,11.85198581,0.0002539889177
id10,resting,CZ,Mu,scenario4,4,0.7999744856,9.633944752e-07
id10,resting,CZ,Mu,scenario5,5,21.40025378,0.0009334212281
id10,resting,CZ,Mu,scenario6,6,18.83884502,0.0006089900005
id10,resting,CZ,Mu,scenario7,7,0.3865945927,2.338539733e-07
id10,resting,CZ,Mu,scenario8,8,7.9283795,0.0002207056877
id10,resting,CZ,Mu,scenario9,9,10.93710585,0.0002009320771
id10,thinking,C3,High_Beta,scenario1,1,0.1398137451,6.58399737e-08
id10,thinking,C3,High_Beta,scenario2,2,6.37536819,6.888730948e-05
id10,thinking,C3,High_Beta,scenario3,3,0.959979502,1.91333992e-06
id10,thinking,C3,High_Beta,scenario4,4,1.063628044,1.164832191e-05
id10,thinking,C3,High_Beta,scenario5,5,2.860581647,2.372737034e-05
id10,thinking,C3,High_Beta,scenario6,6,4.581008967,5.613211453e-05
id10,thinking,C3,High_Beta,scenario7,7,3.497612844,6.609022196e-05
id10,thinking,C3,High_Beta,scenario8,8,3.888244689,4.520068722e-05
id10,thinking,C3,High_Beta,scenario9,9,4.242195621,7.15035989e-05
id10,thinking,C3,Low_Beta,scenario1,1,0.06526979553,8.3763291e-09
id10,thinking,C3,Low_Beta,scenario2,2,1.607469328,4.167667487e-06
id10,thinking,C3,Low_Beta,scenario3,3,0.6325250013,6.926000518e-07
id10,thinking,C3,Low_Beta,scenario4,4,1.456445994,1.37728741e-05
id10,thinking,C3,Low_Beta,scenario5,5,2.188146535,2.392286058e-05
id10,thinking,C3,Low_Beta,scenario6,6,4.194337172,4.348639804e-05
id10,thinking,C3,Low_Beta,scenario7,7,3.274364489,7.127767773e-05
id10,thinking,C3,Low_Beta,scenario8,8,3.878119447,4.391530598e-05
id10,thinking,C3,Low_Beta,scenario9,9,4.311779529,7.342380074e-05
id10,thinking,C3,Mu,scenario1,1,0.0710315985,9.1981607e-09
id10,thinking,C3,Mu,scenario2,2,1.803179755,5.963822476e-06
id10,thinking,C3,Mu,scenario3,3,0.8624949747,1.500883316e-06
id10,thinking,C3,Mu,scenario4,4,2.053966427,2.690620541e-05
id10,thinking,C3,Mu,scenario5,5,2.591590168,3.353351053e-05
id10,thinking,C3,Mu,scenario6,6,5.39308846,7.084915777e-05
id10,thinking,C3,Mu,scenario7,7,3.172641835,8.051217623e-05
id10,thinking,C3,Mu,scenario8,8,5.219251491,8.831535736e-05
id10,thinking,C3,Mu,scenario9,9,4.803617911,7.169551676e-05
id10,thinking,C4,High_Beta,scenario1,1,5.133835183,0.0001701980248
id10,thinking,C4,High_Beta,scenario2,2,5.955989589,0.0001919855143
id10,thinking,C4,High_Beta,scenario3,3,12.64926291,0.0003303127784
id10,thinking,C4,High_Beta,scenario4,4,0.6198813651,1.463359637e-06
id10,thinking,C4,High_Beta,scenario5,5,9.87386105,0.0002898013529
id10,thinking,C4,High_Beta,scenario6,6,10.72076865,0.0003423190584
id10,thinking,C4,High_Beta,scenario7,7,3.587236757,8.839583072e-05
id10,thinking,C4,High_Beta,scenario8,8,10.63784039,0.0002812017576
id10,thinking,C4,High_Beta,scenario9,9,11.49825893,0.0002829962382
id10,thinking,C4,Low_Beta,scenario1,1,4.915357706,9.694899316e-05
id10,thinking,C4,Low_Beta,scenario2,2,5.41328664,9.817532677e-05
id10,thinking,C4,Low_Beta,scenario3,3,10.40205501,0.0002096052443
id10,thinking,C4,Low_Beta,scenario4,4,0.1721984874,7.74391624e-08
id10,thinking,C4,Low_Beta,scenario5,5,10.18269641,0.0003088687782
id10,thinking,C4,Low_Beta,scenario6,6,10.07519317,0.0002569947896
id10,thinking,C4,Low_Beta,scenario7,7,3.368564016,5.798884887e-05
id10,thinking,C4,Low_Beta,scenario8,8,7.235422594,0.0001063955756
id10,thinking,C4,Low_Beta,scenario9,9,8.629175394,0.0001591937817
id10,thinking,C4,Mu,scenario1,1,5.274314346,0.0001013451963
id10,thinking,C4,Mu,scenario2,2,4.884702251,7.859106948e-05
id10,thinking,C4,Mu,scenario3,3,12.35987083,0.000290149699
id10,thinking,C4,Mu,scenario4,4,0.1735977105,7.8362616e-08
id10,thinking,C4,Mu,scenario5,5,14.94804328,0.0006931918119
id10,thinking,C4,Mu,scenario6,6,11.88281557,0.0003597846222
id10,thinking,C4,Mu,scenario7,7,3.911400942,8.118011797e-05
id10,thinking,C4,Mu,scenario8,8,9.062636173,0.0001628595349
id10,thinking,C4,Mu,scenario9,9,11.44684241,0.0002909842206
id10,thinking,CZ,High_Beta,scenario1,1,3.512626633,8.946694442e-05
id10,thinking,CZ,High_Beta,scenario2,2,5.664376319,8.349989925e-05
id10,thinking,CZ,High_Beta,scenario3,3,8.640206536,0.0001557257304
id10,thinking,CZ,High_Beta,scenario4,4,1.237530074,5.832019057e-06
id10,thinking,CZ,High_Beta,scenario5,5,11.40479132,0.0003348259677
id10,thinking,CZ,High_Beta,scenario6,6,10.72807517,0.0003586679299
id10,thinking,CZ,High_Beta,scenario7,7,3.166111408,6.625189765e-05
id10,thinking,CZ,High_Beta,scenario8,8,16.16716088,0.0005246590599
id10,thinking,CZ,High_Beta,scenario9,9,12.13557463,0.0003559666887
id10,thinking,CZ,Low_Beta,scenario1,1,5.190460192,0.0001639688
id10,thinking,CZ,Low_Beta,scenario2,2,3.71778871,3.780135727e-05
id10,thinking,CZ,Low_Beta,scenario3,3,9.388798697,0.0001740054331
id10,thinking,CZ,Low_Beta,scenario4,4,0.3438082727,3.086304809e-07
id10,thinking,CZ,Low_Beta,scenario5,5,10.67071059,0.0002511202789
id10,thinking,CZ,Low_Beta,scenario6,6,11.51262963,0.0003534521832
id10,thinking,CZ,Low_Beta,scenario7,7,3.750063015,8.927772464e-05
id10,thinking,CZ,Low_Beta,scenario8,8,14.13816656,0.0003791072277
id10,thinking,CZ,Low_Beta,scenario9,9,8.920939201,0.0001806958458
id10,thinking,CZ,Mu,scenario1,1,3.906691295,8.220307868e-05
id10,thinking,CZ,Mu,scenario2,2,4.978928003,8.820481088e-05
id10,thinking,CZ,Mu,scenario3,3,11.9674483,0.0003183441987
id10,thinking,CZ,Mu,scenario4,4,0.3466194494,3.12316443e-07
id10,thinking,CZ,Mu,scenario5,5,17.16696948,0.0007635829275
id10,thinking,CZ,Mu,scenario6,6,13.89496364,0.0005015166392
id10,thinking,CZ,Mu,scenario7,7,3.371334755,5.167111339e-05
id10,thinking,CZ,Mu,scenario8,8,15.89151543,0.0005274733438
id10,thinking,CZ,Mu,scenario9,9,11.58690227,0.0003352336853
id100,resting,C3,High_Beta,scenario1,1,2.481056835,1.850720418e-05
id100,resting,C3,High_Beta,scenario2,2,6.131243208,7.443212288e-05
id100,resting,C3,High_Beta,scenario3,3,6.222645446,8.659379389e-05
id100,resting,C3,High_Beta,scenario4,4,3.073695251,4.895543793e-05
id100,resting,C3,High_Beta,scenario5,5,4.818238239,4.092737737e-05
id100,resting,C3,High_Beta,scenario6,6,7.929071676,0.0001123816861
id100,resting,C3,High_Beta,scenario7,7,4.896046368,5.517067856e-05
id100,resting,C3,High_Beta,scenario8,8,7.349659767,0.0001039625675
